Race,Male,fs,AteLess,JoinProgram,LiquidDiet,DietPill,OthRx,Other,LaxVom,DietFood,MoreH20,SwitchFood,LessFat,Exercise,SkipMeal,FruitVeg,AteLessJunk,AteLessSweet,ChangeDiet,RestartSmoke,LowCarb,SpecDiet
0,0,0,557 (63.7),101 (11.6),38 (4.3),21 (2.4),42 (4.8),10 (1.1),2 (0.2),111 (12.7),301 (34.4),313 (35.8),290 (33.2),538 (61.6),95 (10.9),232 (26.5),165 (18.9),145 (16.6),142 (16.2),6 (0.7),207 (23.7),56 (6.4)
0,1,0,347 (62.4),7 (1.3),20 (3.6),4 (0.7),21 (3.8),4 (0.7),0 (0.0),57 (10.3),173 (31.1),181 (32.6),183 (32.9),349 (62.8),84 (15.1),115 (20.7),99 (17.8),91 (16.4),74 (13.3),1 (0.2),133 (23.9),25 (4.5)
1,0,0,240 (63.0),39 (10.2),26 (6.8),13 (3.4),21 (5.5),6 (1.6),8 (2.1),52 (13.6),181 (47.5),131 (34.4),151 (39.6),255 (66.9),70 (18.4),104 (27.3),79 (20.7),71 (18.6),73 (19.2),2 (0.5),97 (25.5),22 (5.8)
1,1,0,144 (60.8),6 (2.5),13 (5.5),1 (0.4),17 (7.2),4 (1.7),4 (1.7),15 (6.3),104 (43.9),61 (25.7),90 (38.0),170 (71.7),46 (19.4),76 (32.1),62 (26.2),51 (21.5),50 (21.1),2 (0.8),55 (23.2),6 (2.5)
2,0,0,260 (57.1),24 (5.3),16 (3.5),15 (3.3),41 (9.0),9 (2.0),6 (1.3),37 (8.1),158 (34.7),136 (29.9),167 (36.7),252 (55.4),53 (11.6),90 (19.8),74 (16.3),66 (14.5),57 (12.5),1 (0.2),125 (27.5),31 (6.8)
2,1,0,127 (48.8),7 (2.7),6 (2.3),2 (0.8),14 (5.4),1 (0.4),1 (0.4),17 (6.5),85 (32.7),71 (27.3),89 (34.2),161 (61.9),32 (12.3),48 (18.5),35 (13.5),39 (15.0),26 (10.0),1 (0.4),51 (19.6),10 (3.8)
3,0,0,107 (61.1),4 (2.3),2 (1.1),1 (0.6),9 (5.1),1 (0.6),0 (0.0),16 (9.1),66 (37.7),53 (30.3),60 (34.3),121 (69.1),25 (14.3),56 (32.0),41 (23.4),44 (25.1),41 (23.4),0 (0.0),42 (24.0),10 (5.7)
3,1,0,77 (61.1),1 (0.8),4 (3.2),1 (0.8),6 (4.8),2 (1.6),1 (0.8),10 (7.9),37 (29.4),25 (19.8),44 (34.9),102 (81.0),15 (11.9),33 (26.2),33 (26.2),24 (19.0),24 (19.0),0 (0.0),24 (19.0),2 (1.6)
0,0,1,57 (80.3),3 (4.2),2 (2.8),4 (5.6),5 (7.0),1 (1.4),3 (4.2),13 (18.3),32 (45.1),16 (22.5),20 (28.2),28 (39.4),27 (38.0),27 (38.0),21 (29.6),16 (22.5),16 (22.5),1 (1.4),17 (23.9),8 (11.3)
0,1,1,17 (56.7),0 (0.0),0 (0.0),1 (3.3),3 (10.0),0 (0.0),1 (3.3),1 (3.3),8 (26.7),5 (16.7),9 (30.0),14 (46.7),7 (23.3),8 (26.7),8 (26.7),5 (16.7),5 (16.7),0 (0.0),5 (16.7),3 (10.0)
